[1613064371017862] [Filter] Status: Started new logger at ./filter.log
[1613064371018099] [Filter] Down-sampling factor D: 1
[1613064371018122] [Filter] Up-sampling factor U: 1
[1613064371018142] [Filter] Filter length: 2
[1613064371229997] [Filter] Sample: 0.033509 + i * 0.016022
[1613064371230002] [Filter] Sample: 0.033967 + i * 0.016053
[1613064371230010] [Filter] Sample: 0.033021 + i * 0.016846
[1613064371230016] [Filter] Sample: 0.033815 + i * 0.016541
[1613064371230022] [Filter] Sample: 0.033418 + i * 0.017335
[1613064371230028] [Filter] Sample: 0.030335 + i * 0.019684
[1613064371230037] [Filter] Sample: 0.034364 + i * 0.017274
[1613064371230044] [Filter] Sample: 0.028687 + i * 0.020936
[1613064371230050] [Filter] Sample: 0.025544 + i * 0.022492
[1613064371230057] [Filter] Sample: 0.028077 + i * 0.020570
[1613064371230065] [Filter] Sample: 0.032319 + i * 0.020173
[1613064371230071] [Filter] Sample: 0.032136 + i * 0.020203
[1613064371230077] [Filter] Sample: 0.028077 + i * 0.022584
[1613064371230085] [Filter] Sample: 0.026185 + i * 0.023499
[1613064371230091] [Filter] Sample: 0.027650 + i * 0.023286
[1613064371230098] [Filter] Sample: 0.027711 + i * 0.023377
[1613064371230105] [Filter] Sample: 0.026582 + i * 0.024171
[1613064371230123] [Filter] Sample: 0.028138 + i * 0.023988
[1613064371230129] [Filter] Sample: 0.025056 + i * 0.025330
[1613064371230133] [Filter] Sample: 0.027253 + i * 0.024995
[1613064371230139] [Filter] Sample: 0.025117 + i * 0.025788
[1613064371230160] [Filter] Sample: 0.020692 + i * 0.027436
[1613064371230167] [Filter] Sample: 0.027894 + i * 0.025330
[1613064371230173] [Filter] Sample: 0.026704 + i * 0.026429
[1613064371230179] [Filter] Sample: 0.025086 + i * 0.026368
[1613064371230187] [Filter] Sample: 0.025330 + i * 0.026368
[1613064371230191] [Filter] Sample: 0.022004 + i * 0.028321
[1613064371230197] [Filter] Sample: 0.022218 + i * 0.028199
[1613064371230205] [Filter] Sample: 0.022370 + i * 0.028474
[1613064371230212] [Filter] Sample: 0.018708 + i * 0.029328
[1613064371230218] [Filter] Sample: 0.023927 + i * 0.028962
[1613064371230224] [Filter] Sample: 0.022401 + i * 0.029115
[1613064371230233] [Filter] Sample: 0.022523 + i * 0.029634
[1613064371230240] [Filter] Sample: 0.017548 + i * 0.030427
[1613064371230246] [Filter] Sample: 0.023835 + i * 0.029939
[1613064371230252] [Filter] Sample: 0.025422 + i * 0.030427
[1613064371230260] [Filter] Sample: 0.013123 + i * 0.031190
[1613064371230266] [Filter] Sample: 0.018036 + i * 0.028016
[1613064371230272] [Filter] Sample: 0.020081 + i * 0.031434
[1613064371230281] [Filter] Sample: 0.013672 + i * 0.031922
[1613064371230289] [Filter] Sample: 0.011719 + i * 0.031953
[1613064371230298] [Filter] Sample: 0.015442 + i * 0.032441
[1613064371230305] [Filter] Sample: 0.017914 + i * 0.032472
[1613064371230316] [Filter] Sample: 0.017396 + i * 0.032838
[1613064371230322] [Filter] Sample: 0.012116 + i * 0.032991
[1613064371230328] [Filter] Sample: 0.015748 + i * 0.033387
[1613064371230335] [Filter] Sample: 0.016327 + i * 0.033754
[1613064371230342] [Filter] Sample: 0.016144 + i * 0.033937
[1613064371230348] [Filter] Sample: 0.006561 + i * 0.033082
[1613064371230365] [Filter] Sample: 0.012543 + i * 0.033479
[1613064371230373] [Filter] Sample: 0.011658 + i * 0.033509
[1613064371230381] [Filter] Sample: 0.011841 + i * 0.034913
[1613064371230386] [Filter] Sample: 0.006897 + i * 0.033937
[1613064371230393] [Filter] Sample: 0.011536 + i * 0.035005
[1613064371230401] [Filter] Sample: 0.010071 + i * 0.035096
[1613064371230408] [Filter] Sample: 0.007477 + i * 0.034761
[1613064371230413] [Filter] Sample: 0.013489 + i * 0.036287
[1613064371230419] [Filter] Sample: 0.006165 + i * 0.035005
[1613064371230437] [Filter] Sample: 0.001190 + i * 0.032960
[1613064371230443] [Filter] Sample: 0.007935 + i * 0.035218
[1613064371230449] [Filter] Sample: 0.009583 + i * 0.036470
[1613064371230456] [Filter] Sample: 0.005005 + i * 0.034364
[1613064371230475] [Filter] Sample: 0.005219 + i * 0.035798
[1613064371230482] [Filter] Sample: 0.009095 + i * 0.037385
[1613064371230498] [Filter] Sample: 0.005768 + i * 0.036714
[1613064371230507] [Filter] Sample: 0.007233 + i * 0.037385
[1613064371230513] [Filter] Sample: 0.004364 + i * 0.036531
[1613064371230520] [Filter] Sample: 0.004059 + i * 0.036805
[1613064371230536] [Filter] Sample: 0.005463 + i * 0.037752
[1613064371230545] [Filter] Sample: 0.004334 + i * 0.037538
[1613064371230552] [Filter] Sample: -0.001495 + i * 0.034791
[1613064371230558] [Filter] Sample: 0.001831 + i * 0.036989
[1613064371230564] [Filter] Sample: 0.002747 + i * 0.037752
[1613064371230572] [Filter] Sample: 0.003021 + i * 0.038026
[1613064371230577] [Filter] Sample: -0.002075 + i * 0.035676
[1613064371230583] [Filter] Sample: -0.001434 + i * 0.035005
[1613064371230589] [Filter] Sample: -0.008026 + i * 0.032655
[1613064371230598] [Filter] Sample: -0.001434 + i * 0.037111
[1613064371230605] [Filter] Sample: -0.001831 + i * 0.036866
[1613064371230611] [Filter] Sample: -0.004883 + i * 0.035402
[1613064371230618] [Filter] Sample: -0.005188 + i * 0.035554
[1613064371230624] [Filter] Sample: -0.004273 + i * 0.036439
[1613064371230630] [Filter] Sample: -0.007538 + i * 0.034120
[1613064371230636] [Filter] Sample: -0.004425 + i * 0.037233
[1613064371230644] [Filter] Sample: -0.008606 + i * 0.034059
[1613064371230650] [Filter] Sample: -0.012482 + i * 0.031221
[1613064371230655] [Filter] Sample: -0.010773 + i * 0.032930
[1613064371230662] [Filter] Sample: -0.010376 + i * 0.033418
[1613064371230671] [Filter] Sample: -0.009858 + i * 0.034089
[1613064371230680] [Filter] Sample: -0.011506 + i * 0.033143
[1613064371230686] [Filter] Sample: -0.007538 + i * 0.035981
[1613064371230695] [Filter] Sample: -0.010224 + i * 0.033906
[1613064371230702] [Filter] Sample: -0.010071 + i * 0.035768
[1613064371230708] [Filter] Sample: -0.009552 + i * 0.036165
[1613064371230715] [Filter] Sample: -0.012391 + i * 0.033906
[1613064371230724] [Filter] Sample: -0.015442 + i * 0.030519
[1613064371230730] [Filter] Sample: -0.014435 + i * 0.032075
[1613064371230737] [Filter] Sample: -0.015320 + i * 0.030183
[1613064371230743] [Filter] Sample: -0.012818 + i * 0.032746
[1613064371230752] [Filter] Sample: -0.017274 + i * 0.029847
[1613064371230758] [Filter] Sample: -0.011536 + i * 0.037690
[1613064371230765] [Filter] Sample: -0.013855 + i * 0.035127
[1613064371230771] [Filter] Sample: -0.018860 + i * 0.028230
[1613064371230779] [Filter] Sample: -0.015839 + i * 0.033418
[1613064371230785] [Filter] Sample: -0.019166 + i * 0.028535
[1613064371230792] [Filter] Sample: -0.016327 + i * 0.033784
[1613064371230800] [Filter] Sample: -0.016816 + i * 0.033143
[1613064371230807] [Filter] Sample: -0.019898 + i * 0.028626
[1613064371230814] [Filter] Sample: -0.015626 + i * 0.035554
[1613064371230820] [Filter] Sample: -0.021516 + i * 0.025208
[1613064371230839] [Filter] Sample: -0.021699 + i * 0.027162
[1613064371230847] [Filter] Sample: -0.016999 + i * 0.031404
[1613064371230853] [Filter] Sample: -0.021058 + i * 0.029054
[1613064371230869] [Filter] Sample: -0.023072 + i * 0.025880
[1613064371230878] [Filter] Sample: -0.019593 + i * 0.032197
[1613064371230884] [Filter] Sample: -0.022126 + i * 0.026368
[1613064371230889] [Filter] Sample: -0.020600 + i * 0.033326
[1613064371230898] [Filter] Sample: -0.022553 + i * 0.028657
[1613064371230904] [Filter] Sample: -0.023957 + i * 0.026124
[1613064371230910] [Filter] Sample: -0.022645 + i * 0.030488
[1613064371230916] [Filter] Sample: -0.025147 + i * 0.024690
[1613064371230924] [Filter] Sample: -0.024934 + i * 0.026063
[1613064371230930] [Filter] Sample: -0.024903 + i * 0.026887
[1613064371230936] [Filter] Sample: -0.025361 + i * 0.025880
[1613064371230942] [Filter] Sample: -0.027314 + i * 0.020264
[1613064371230950] [Filter] Sample: -0.025758 + i * 0.026368
[1613064371230957] [Filter] Sample: -0.026368 + i * 0.024049
[1613064371230962] [Filter] Sample: -0.026795 + i * 0.025239
[1613064371230970] [Filter] Sample: -0.027314 + i * 0.023774
[1613064371230977] [Filter] Sample: -0.027039 + i * 0.026551
[1613064371230981] [Filter] Sample: -0.027406 + i * 0.026368
[1613064371230989] [Filter] Sample: -0.028047 + i * 0.024110
[1613064371230997] [Filter] Sample: -0.028779 + i * 0.023774
[1613064371231004] [Filter] Sample: -0.028840 + i * 0.017823
[1613064371231010] [Filter] Sample: -0.028413 + i * 0.023347
[1613064371231016] [Filter] Sample: -0.029939 + i * 0.020478
[1613064371231025] [Filter] Sample: -0.030122 + i * 0.015900
[1613064371231031] [Filter] Sample: -0.030183 + i * 0.022950
[1613064371231036] [Filter] Sample: -0.030152 + i * 0.020356
[1613064371231043] [Filter] Sample: -0.030061 + i * 0.021027
[1613064371231052] [Filter] Sample: -0.031159 + i * 0.016480
[1613064371231058] [Filter] Sample: -0.029389 + i * 0.019868
[1613064371231064] [Filter] Sample: -0.031465 + i * 0.016053
[1613064371231073] [Filter] Sample: -0.032136 + i * 0.018494
[1613064371231079] [Filter] Sample: -0.032411 + i * 0.014588
[1613064371231084] [Filter] Sample: -0.032289 + i * 0.014679
[1613064371231091] [Filter] Sample: -0.032899 + i * 0.018738
[1613064371231102] [Filter] Sample: -0.032807 + i * 0.011902
[1613064371231108] [Filter] Sample: -0.033174 + i * 0.013276
[1613064371231114] [Filter] Sample: -0.031983 + i * 0.013489
[1613064371231120] [Filter] Sample: -0.033143 + i * 0.015381
[1613064371231130] [Filter] Sample: -0.034120 + i * 0.013855
[1613064371231136] [Filter] Sample: -0.033723 + i * 0.010376
[1613064371231143] [Filter] Sample: -0.033876 + i * 0.010102
[1613064371231152] [Filter] Sample: -0.035371 + i * 0.016419
[1613064371231158] [Filter] Sample: -0.033509 + i * 0.006134
[1613064371231165] [Filter] Sample: -0.034669 + i * 0.009644
[1613064371231172] [Filter] Sample: -0.034639 + i * 0.009400
[1613064371231180] [Filter] Sample: -0.034730 + i * 0.008057
[1613064371231186] [Filter] Sample: -0.034578 + i * 0.006989
[1613064371231193] [Filter] Sample: -0.035768 + i * 0.008972
[1613064371231199] [Filter] Sample: -0.034761 + i * 0.010559
[1613064371231218] [Filter] Sample: -0.033509 + i * 0.005799
[1613064371231225] [Filter] Sample: -0.035737 + i * 0.005005
[1613064371231231] [Filter] Sample: -0.036531 + i * 0.010254
[1613064371231248] [Filter] Sample: -0.037446 + i * 0.009461
[1613064371231257] [Filter] Sample: -0.034944 + i * 0.005524
[1613064371231263] [Filter] Sample: -0.036073 + i * 0.006561
[1613064371231269] [Filter] Sample: -0.037172 + i * 0.006561
[1613064371231277] [Filter] Sample: -0.033631 + i * 0.002625
[1613064371231284] [Filter] Sample: -0.035035 + i * 0.001831
[1613064371231289] [Filter] Sample: -0.034944 + i * -0.000824
[1613064371231298] [Filter] Sample: -0.033662 + i * -0.002747
[1613064371231311] [Filter] Sample: -0.035493 + i * 0.002747
[1613064371231318] [Filter] Sample: -0.037507 + i * 0.002045
[1613064371231325] [Filter] Sample: -0.031861 + i * -0.005371
[1613064371231331] [Filter] Sample: -0.035310 + i * 0.001831
[1613064371231340] [Filter] Sample: -0.037538 + i * 0.001129
[1613064371231346] [Filter] Sample: -0.035890 + i * -0.001404
[1613064371231353] [Filter] Sample: -0.037813 + i * 0.000458
[1613064371231370] [Filter] Sample: -0.036073 + i * -0.002197
[1613064371231377] [Filter] Sample: -0.036012 + i * -0.003723
[1613064371231384] [Filter] Sample: -0.033906 + i * -0.003510
[1613064371231390] [Filter] Sample: -0.034181 + i * -0.000916
[1613064371231399] [Filter] Sample: -0.036714 + i * -0.002655
[1613064371231405] [Filter] Sample: -0.037782 + i * -0.002564
[1613064371231411] [Filter] Sample: -0.034730 + i * -0.006897
[1613064371231417] [Filter] Sample: -0.034852 + i * -0.007508
[1613064371231426] [Filter] Sample: -0.034852 + i * -0.007660
[1613064371231432] [Filter] Sample: -0.034639 + i * -0.008454
[1613064371231438] [Filter] Sample: -0.032075 + i * -0.011719
[1613064371231444] [Filter] Sample: -0.035249 + i * -0.008271
[1613064371231462] [Filter] Sample: -0.031556 + i * -0.012818
[1613064371231468] [Filter] Sample: -0.029084 + i * -0.015534
[1613064371231475] [Filter] Sample: -0.034120 + i * -0.010407
[1613064371231494] [Filter] Sample: -0.030397 + i * -0.014740
[1613064371231499] [Filter] Sample: -0.032624 + i * -0.012970
[1613064371231505] [Filter] Sample: -0.034547 + i * -0.011567
[1613064371231512] [Filter] Sample: -0.035127 + i * -0.011322
[1613064371231520] [Filter] Sample: -0.034150 + i * -0.012543
[1613064371231526] [Filter] Sample: -0.036073 + i * -0.011292
[1613064371231533] [Filter] Sample: -0.032319 + i * -0.013123
[1613064371231539] [Filter] Sample: -0.032167 + i * -0.013978
[1613064371231549] [Filter] Sample: -0.036928 + i * -0.012116
[1613064371231555] [Filter] Sample: -0.033143 + i * -0.015168
[1613064371231561] [Filter] Sample: -0.033448 + i * -0.015259
[1613064371231580] [Filter] Sample: -0.035249 + i * -0.014405
[1613064371231586] [Filter] Sample: -0.032807 + i * -0.016266
[1613064371231592] [Filter] Sample: -0.032746 + i * -0.016755
[1613064371231609] [Filter] Sample: -0.033357 + i * -0.016572
[1613064371231617] [Filter] Sample: -0.032624 + i * -0.017487
[1613064371231623] [Filter] Sample: -0.029817 + i * -0.019379
[1613064371231630] [Filter] Sample: -0.022218 + i * -0.023835
[1613064371231636] [Filter] Sample: -0.029023 + i * -0.020295
[1613064371231644] [Filter] Sample: -0.028993 + i * -0.020753
[1613064371231649] [Filter] Sample: -0.033082 + i * -0.018922
[1613064371231655] [Filter] Sample: -0.028718 + i * -0.021363
[1613064371231661] [Filter] Sample: -0.029603 + i * -0.019776
[1613064371231670] [Filter] Sample: -0.026948 + i * -0.022584
[1613064371231676] [Filter] Sample: -0.028596 + i * -0.022553
[1613064371231683] [Filter] Sample: -0.028687 + i * -0.022523
[1613064371231691] [Filter] Sample: -0.021607 + i * -0.025514
[1613064371231700] [Filter] Sample: -0.032624 + i * -0.021851
[1613064371231706] [Filter] Sample: -0.029176 + i * -0.022736
[1613064371231712] [Filter] Sample: -0.023133 + i * -0.024903
[1613064371231721] [Filter] Sample: -0.022187 + i * -0.026093
[1613064371231728] [Filter] Sample: -0.025453 + i * -0.025056
[1613064371231734] [Filter] Sample: -0.023103 + i * -0.026368
[1613064371231741] [Filter] Sample: -0.023988 + i * -0.026399
[1613064371231750] [Filter] Sample: -0.015809 + i * -0.028596
[1613064371231756] [Filter] Sample: -0.018464 + i * -0.028108
[1613064371231763] [Filter] Sample: -0.024140 + i * -0.027070
[1613064371231772] [Filter] Sample: -0.023957 + i * -0.027467
[1613064371231779] [Filter] Sample: -0.023438 + i * -0.026215
[1613064371231786] [Filter] Sample: -0.025483 + i * -0.027772
[1613064371231793] [Filter] Sample: -0.021607 + i * -0.027680
[1613064371231802] [Filter] Sample: -0.021638 + i * -0.028718
[1613064371231809] [Filter] Sample: -0.022218 + i * -0.029176
[1613064371231814] [Filter] Sample: -0.018433 + i * -0.029573
[1613064371231820] [Filter] Sample: -0.024140 + i * -0.029359
[1613064371231829] [Filter] Sample: -0.017029 + i * -0.030152
[1613064371231836] [Filter] Sample: -0.017274 + i * -0.029908
[1613064371231843] [Filter] Sample: -0.014435 + i * -0.030152
[1613064371231850] [Filter] Sample: -0.016938 + i * -0.031282
[1613064371231857] [Filter] Sample: -0.019105 + i * -0.031098
[1613064371231864] [Filter] Sample: -0.017975 + i * -0.031678
[1613064371231870] [Filter] Sample: -0.019135 + i * -0.032014
[1613064371231877] [Filter] Sample: -0.015229 + i * -0.032289
[1613064371231883] [Filter] Sample: -0.006134 + i * -0.031922
[1613064371231889] [Filter] Sample: -0.016205 + i * -0.032746
